ID,IDr,CisloPece,CisloPodstavce,CisloOchrannehoPoklopu,Vsazky,Smena,CasZahajeni,CasUkonceni,Batch01_GIN,Batch01_Lot,Batch01_WGHT,Batch01_stred,Batch01_cont,Batch01_Nazev,Batch01_CisloZakazky,Batch02_GIN,Batch02_Lot,Batch02_WGHT,Batch02_stred,Batch02_cont,Batch02_Nazev,Batch02_CisloZakazky,Batch03_GIN,Batch03_Lot,Batch03_WGHT,Batch03_stred,Batch03_cont,Batch03_Nazev,Batch03_CisloZakazky,Batch04_GIN,Batch04_Lot,Batch04_WGHT,Batch04_stred,Batch04_cont,Batch04_Nazev,Batch04_CisloZakazky,Batch05_GIN,Batch05_Lot,Batch05_WGHT,Batch05_stred,Batch05_cont,Batch05_Nazev,Batch05_CisloZakazky,Batch06_GIN,Batch06_Lot,Batch06_WGHT,Batch06_stred,Batch06_cont,Batch06_Nazev,Batch06_CisloZakazky,Batch07_GIN,Batch07_Lot,Batch07_WGHT,Batch07_stred,Batch07_cont,Batch07_Nazev,Batch07_CisloZakazky,Batch08_GIN,Batch08_Lot,Batch08_WGHT,Batch08_stred,Batch08_cont,Batch08_Nazev,Batch08_CisloZakazky,Batch09_GIN,Batch09_Lot,Batch09_WGHT,Batch09_stred,Batch09_cont,Batch09_Nazev,Batch09_CisloZakazky,Batch10_GIN,Batch10_Lot,Batch10_WGHT,Batch10_stred,Batch10_cont,Batch10_Nazev,Batch10_CisloZakazky,Batch11_GIN,Batch11_Lot,Batch11_WGHT,Batch11_stred,Batch11_cont,Batch11_Nazev,Batch11_CisloZakazky,Batch12_GIN,Batch12_Lot,Batch12_WGHT,Batch12_stred,Batch12_cont,Batch12_Nazev,Batch12_CisloZakazky,Plyn_Spotreba_Cyklus,OA_Spotreba_Cyklus,Zdroj,StatusProgramu,Reported,PosledniZmena,RadekVytvoren
50,1,0,1,1,PRP1X10,B,2024-07-25 20:44:48.000,2024-07-29 04:35:17.000,xf13292211,737181,850,b410,m240724075,Predtah,0000492760,xf13292211,737181,850,b410,m240724074,Predtah,0000492760,xf13292211,737181,850,b410,m240724088,Predtah,0000492760,xf13292211,737181,850,b410,m240724089,Predtah,0000492760,xf13292211,737181,850,b410,m240724085,Predtah,0000492760,xf13292211,737181,850,b410,m240724086,Predtah,0000492760,xf13292211,737181,850,b410,m240724094,Predtah,0000492760,xf13292211,737181,850,b410,m240724099,Predtah,0000492760,xf13292211,737181,940,b410,m240724109,Predtah,0000492760,xf13292211,737181,650,b410,m240724114,Predtah,0000492760,xf13292211,737181,850,b410,m250724003,Predtah,0000493176,xf13292211,737181,850,b410,m250724032,Predtah,0000493176,0,1,NULL,0,1,NULL,NULL
51,1,4,3,5,PRP3X9,B,2024-07-25 20:52:33.000,2024-07-27 09:58:17.000,xf13292211,737181,650,b410,m240724117,Predtah,0000492760,xf13292211,737181,850,b410,m230724029,Predtah,0000492760,xf13292211,737181,850,b410,m230724011,Predtah,0000492760,xf13292211,737181,850,b410,m230724037,Predtah,0000492760,xf13292211,737181,850,b410,m230724062,Predtah,0000492760,xf13292211,737181,850,b410,m230724046,Predtah,0000492760,xf13292211,737181,850,b410,m230724074,Predtah,0000492760,xf13292211,737181,850,b410,m230724069,Predtah,0000492760,xf13292211,737181,850,b410,m230724098,Predtah,0000492760,xf13292211,737181,850,b410,m230724088,Predtah,0000492760,xf13292211,737181,685,b410,m230724119,Predtah,0000492760,xf13292211,737181,850,b410,m230724106,Predtah,0000492760,488,219,NULL,0,1,NULL,NULL
58,1,0,4,7,PRP4X9,A,2024-07-29 04:25:56.000,2024-07-29 05:02:18.000,xf13292211,737181,850,b410,m250724045,Predtah,0000493176,xf13292211,737181,850,b410,m250724056,Predtah,0000493176,xf13292211,737181,850,b410,m250724023,Predtah,0000493176,xf13292211,737181,850,b410,m250724044,Predtah,0000493176,xf13292211,737181,850,b410,m250724006,Predtah,0000493176,xf13292211,737181,850,b410,m250724069,Predtah,0000493176,xf13292211,737181,850,b410,m250724081,Predtah,0000493176,xf13292211,737181,850,b410,m250724093,Predtah,0000493176,xf13292211,737181,850,b410,m250724101,Predtah,0000493176,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,2,NULL,0,1,NULL,NULL
"85,1,3,7,5,PRP7X1,A,2024-08-19 11:29:14.000,2024-08-20 03:48:30.000,xf13312211,59540,850,b410,m190824012,Predtah,0000497130,xf13312211,59540,850,b410,m190824027,Predtah,0000497130,xf13312211,59540,850,b410,m190824040,Predtah,0000497130,xf13312211,59540,800,b410,m190824049,Predtah,0000497130,xf13312211,59540,880,b410,m190824055,Predtah,0000497130,xf13312211,59540,660,b410,m190824064,Predtah,0000497130,xf13312211,59540,560,b410,m190824067,Predtah,0000497130,xf13312211,59540,550,b410,m200824004,Predtah,0000497130,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,74,121,1ESAB1,0,1,NULL,NULL"
"109,2,2,1,1,PRP1X1,A,2024-09-02 06:14:01.000,2024-09-03 13:50:36.000,xf13132211,40962,800,b410,m280824095,Predtah,0000507367,xf13132211,40962,727,b410,m280824105,Predtah,0000507367,xf13132211,40962,850,b410,m280824087,Predtah,0000507367,xf13132211,40962,850,b410,m280824076,Predtah,0000507367,xf13132211,40962,850,b410,m280824041,Predtah,0000507367,xf13132211,40962,850,b410,m280824063,Predtah,0000507367,xf13132211,40962,850,b410,m280824035,Predtah,0000507367,xf13132211,40962,850,b410,m280824054,Predtah,0000507367,xf13132211,40962,850,b410,m280824019,Predtah,0000507367,xf13132211,40962,850,b410,m280824002,Predtah,0000507367,xf13132211,40962,850,b410,m280824012,Predtah,0000507367,NULL,NULL,0,NULL,NULL,"" "",NULL,433,82,1ESAB2,0,1,NULL,NULL"
110,2,4,4,7,PRP4X1,A,2024-09-02 06:24:25.000,2024-09-04 08:33:08.000,xf13312211,57927,800,b410,m280824115,Predtah,0000507371,xf13312211,57927,800,b410,m280824122,Predtah,0000507371,xf13312211,57927,800,b410,m280824127,Predtah,0000507371,xf13312211,57927,790,b410,m290824006,Predtah,0000507371,xf13312211,57927,800,b410,m280824136,Predtah,0000507371,xf13312211,59540,800,b410,m290824007,Predtah,0000507372,xf13312211,59540,800,b410,m290824026,Predtah,0000507372,xf13312211,59540,800,b410,m290824039,Predtah,0000507372,xf13312211,59540,800,b410,m290824060,Predtah,0000507372,xf13312211,59540,792,b410,m290824078,Predtah,0000507372,xf13962211,76963,641,b410,m290824094,Predtah,0000507373,xf13962211,76963,506,b410,m290824086,Predtah,0000507373,483,344,1ESAB2,0,1,NULL,NULL
"111,1,0,2,NULL,NULL,NULL,2024-08-30 11:17:38.000,2024-08-30 20:45:42.000,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,210,46,1ESAB1,0,1,NULL,NULL"
"112,2,0,3,NULL,NULL,NULL,2024-08-30 11:18:13.000,2024-08-30 16:16:24.000,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,194,62,1ESAB2,0,1,NULL,NULL"
"114,2,0,7,NULL,NULL,NULL,2024-09-02 06:42:39.000,2024-09-03 18:56:12.000,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,476,252,1ESAB1,0,1,NULL,NULL"
115,1,0,5,4,PRP5X1,A,2024-09-03 02:44:04.000,2024-09-04 13:47:56.000,xf13292211,40288,850,b410,m300824121,Predtah,0000507369,xf13292211,40288,850,b410,m310824016,Predtah,0000507369,xf13292211,40288,850,b410,m020924033,Predtah,0000507369,xf13292211,40288,850,b410,m020924031,Predtah,0000507369,xf13292211,40288,850,b410,m010924098,Predtah,0000507369,xf13292211,40288,850,b410,m010924080,Predtah,0000507369,xf13292211,40288,850,b410,m010924006,Predtah,0000507369,xf13292211,40288,850,b410,m310824125,Predtah,0000507369,xf13292211,40288,850,b410,m310824118,Predtah,0000507369,xf13292211,40288,850,b410,m310824113,Predtah,0000507369,xf13292211,40288,850,b410,m310824110,Predtah,0000507369,xf13292211,40288,850,b410,m310824092,Predtah,0000507369,465,296,1ESAB2,0,1,NULL,NULL
"116,3,1,3,2,66P3X1,B,2024-09-02 06:51:03.000,2024-09-02 20:53:19.000,xf12665500,735145,1052,b485,h300824054,VD,0000507749,xf12665500,735145,1070,b485,h300824055,VD,0000507749,xf12665500,735145,1050,b485,h300824056,VD,0000507749,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,198,80,1ESAB1,0,1,NULL,NULL"
"117,1,1,8,11,66P8X1,A,2024-09-02 13:16:28.000,2024-09-03 00:48:53.000,xf12665500,735145,1050,b485,h300824105,VD,0000507749,xf12665500,735145,1068,b485,h300824106,VD,0000507749,xf12665500,735145,1128,b485,h300824103,VD,0000507749,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,170,38,1ESAB1,0,1,NULL,NULL"
"118,2,3,2,10,08P2x1,B,2024-08-30 11:17:38.000,2024-09-05 09:44:29.000,xf13085500,24429,998,B485,H040924046,VD,510696,xf13085500,24429,1048,B485,H040924047,VD,510696,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,202,86,1ESAB1,0,1,NULL,NULL"
"120,2,1,8,11,PRP8X1,C,2024-09-03 02:09:33.000,2024-09-04 15:59:59.000,xf13292211,40288,850,b410,m010924045,Predtah,0000507369,xf13292211,40288,850,b410,m010924059,Predtah,0000507369,xf13292211,40288,850,b410,m010924074,Predtah,0000507369,xf13292211,40288,850,b410,m010924116,Predtah,0000507369,xf13292211,40288,850,b410,m010924110,Predtah,0000507369,xf13292211,40288,850,b410,m010924113,Predtah,0000507369,xf13292211,40288,850,b410,m010924140,Predtah,0000507369,xf13292211,40288,850,b410,m010924143,Predtah,0000507369,xf13292211,40288,850,b410,m010924144,Predtah,0000507369,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,371,217,1ESAB2,0,1,NULL,NULL"
121,3,2,1,1,PRP1X2,A,2024-09-03 18:51:13.000,2024-09-05 03:41:13.000,xf13292211,40288,850,b410,m020924001,Predtah,0000507369,xf13292211,40288,850,b410,m020924011,Predtah,0000507369,xf13292211,40288,850,b410,m010924145,Predtah,0000507369,xf13292211,40288,850,b410,m010924146,Predtah,0000507369,xf13292211,40288,850,b410,m020924026,Predtah,0000507369,xf13292211,40288,850,b410,m020924027,Predtah,0000507369,xf13292211,40288,850,b410,m020924024,Predtah,0000507369,xf13292211,40288,850,b410,m020924025,Predtah,0000507369,xf13292211,40288,850,b410,m020924023,Predtah,0000507369,xf13292211,40288,850,b410,m020924032,Predtah,0000507369,xf13292211,40288,850,b410,m020924034,Predtah,0000507369,xf13292211,40288,850,b410,m020924043,Predtah,0000507369,433,70,1ESAB1,0,1,NULL,NULL
122,3,1,7,5,PRP7X2,C,2024-09-03 20:44:41.000,2024-09-03 20:48:55.000,xf13292211,40288,850,b410,m020924058,Predtah,0000507369,xf13292211,40288,850,b410,m310824090,Predtah,0000507369,xf13292211,40288,850,b410,m010924046,Predtah,0000507369,xf13292211,40288,660,b410,m020924066,Predtah,0000507369,xf13292211,40288,850,b410,m010924024,Predtah,0000507369,xf13292211,40288,850,b410,m010924013,Predtah,0000507369,xf13292211,40288,650,b410,m020924063,Predtah,0000507369,xf13292211,40292,850,b410,m030924016,Predtah,0000507370,xf13292211,40292,850,b410,m030924025,Predtah,0000507370,xf13292211,40292,850,b410,m020924149,Predtah,0000507370,xf13292211,40292,850,b410,m030924001,Predtah,0000507370,xf13292211,40292,850,b410,m020924117,Predtah,0000507370,0,0,1ESAB1,0,1,NULL,NULL
123,4,1,7,5,PRP7X2,C,2024-09-03 21:29:21.000,2024-09-05 09:03:19.000,xf13292211,40288,850,b410,m020924058,Predtah,0000507369,xf13292211,40288,850,b410,m310824090,Predtah,0000507369,xf13292211,40288,850,b410,m010924046,Predtah,0000507369,xf13292211,40288,660,b410,m020924066,Predtah,0000507369,xf13292211,40288,850,b410,m010924024,Predtah,0000507369,xf13292211,40288,850,b410,m010924013,Predtah,0000507369,xf13292211,40288,650,b410,m020924063,Predtah,0000507369,xf13292211,40292,850,b410,m030924016,Predtah,0000507370,xf13292211,40292,850,b410,m030924025,Predtah,0000507370,xf13292211,40292,850,b410,m020924149,Predtah,0000507370,xf13292211,40292,850,b410,m030924001,Predtah,0000507370,xf13292211,40292,850,b410,m020924117,Predtah,0000507370,432,241,1ESAB2,0,1,NULL,NULL
"124,4,3,3,2,SAWP3X1,C,2024-09-04 07:06:34.000,2024-09-04 23:00:01.000,XF12345501,56607,1064,b430,2,VD,0000510822,XF12345501,56607,972,b430,2,VD,0000510822,XF12345501,56607,1018,b430,2,VD,0000510822,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,211,84,1ESAB1,0,1,NULL,NULL"
125,3,4,4,7,prp4x2,B,2024-09-04 09:40:15.000,2024-09-05 19:13:58.000,XF13292211,40292,850,B410,M020924062,Predtah,507370,XF13292211,40292,850,B410,M020924064,Predtah,507370,XF13292211,40292,850,B410,M020924069,Predtah,507370,XF13292211,40292,850,B410,M020924065,Predtah,507370,XF13292211,40292,850,B410,M020924073,Predtah,507370,XF13292211,40292,850,B410,M020924072,Predtah,507370,XF13292211,40292,800,B410,M020924092,Predtah,507370,XF13292211,40292,850,b410,M020924086,Predtah,507370,XF13292211,40292,850,B410,M020924087,Predtah,507370,XF13292211,40292,600,B410,M020924098,Predtah,507370,XF13292211,40292,800,B410,M020924093,Predtah,507370,XF13292211,40292,850,B410,M020924111,Predtah,507370,463,86,1ESAB1,0,1,NULL,NULL
126,3,1,8,11,prp8x2,B,2024-09-04 16:19:43.000,2024-09-05 20:52:16.000,XF13132211M030924130,40962,462,B410,M030924139,NULL,0000510699,XF13132211,40962,523,B410,M030924133,NULL,0000510699,XF13132211,40962,700,B410,M030924130,NULL,0000510699,XF13132211,40962,700,B410,M030924120,NULL,0000510699,XF13132211,40962,700,B410,M030924113,NULL,0000510699,XF13292211,40292,850,B410,M030924037,NULL,0000507370,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,293,156,1ESAB1,0,1,NULL,NULL
"127,2,4,5,4,prp5x2,B,2024-09-05 05:17:31.000,2024-09-06 09:25:01.000,XF13122211,28059,850,B410,M040924011,Predtah,0000510698,XF13122211,28059,850,B410,M040924006,Predtah,0000510698,XF13122211,28059,850,B410,M040924023,Predtah,0000510698,XF13122211,28059,850,B410,M040924016,Predtah,0000510698,XF13122211,28059,900,B410,M040924038,Predtah,0000510698,XF13122211,28059,850,B410,M040924031,Predtah,0000510698,XF13122211,28059,895,B410,M040924041,Predtah,0000510698,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,342,170,1ESAB1,0,1,NULL,NULL"
"128,5,3,3,2,SAWP3X2,A,2024-09-05 02:44:00.000,2024-09-05 18:58:46.000,xf12345501,56607,1000,b430,2,VD,0000510822,xf12345501,56607,1061,b430,2,VD,0000510822,xf12345501,56607,1064,b430,2,VD,0000510822,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,192,252,1ESAB1,0,1,NULL,NULL"
"129,4,2,1,1,SAWP1X1,D,2024-09-05 12:59:21.000,2024-09-06 03:48:12.000,xf12245501,28623,1016,b430,2,VD,0000510820,xf12245501,28623,1000,b430,2,VD,0000510820,VASPO,NULL,3,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,177,52,1ESAB1,0,1,NULL,NULL"
130,5,1,7,5,prp7x3,D,2024-09-05 10:45:40.000,2024-09-06 19:17:22.000,XF13092211,40942,870,B410,M040924052,Predtah,0000510697,XF13092211,40942,870,B410,M040924048,Predtah,0000510697,XF13092211,40942,870,B410,M040924061,Predtah,0000510697,XF13092211,40942,870,B410,M040924059,Predtah,0000510697,XF13092211,40942,530,B410,M050924019,Predtah,0000510697,XF13092211,40942,870,B410,M050924017,Predtah,0000510697,XF13092211,40942,870,B410,M040924114,Predtah,0000510697,XF13092211,40942,870,B410,M040924098,Predtah,0000510697,XF13092211,40942,870,B410,M040924095,Predtah,0000510697,XF13092211,40942,870,B410,M040924082,Predtah,0000510697,XF13092211,40942,870,B410,M040924077,Predtah,0000510697,XF13092211,40942,870,B410,M040924078,Predtah,0000510697,372,98,1ESAB1,0,1,2024-09-06 19:17:22.000,NULL
"131,3,2,2,10,sawp2x1,D,2024-09-05 22:22:27.000,2024-09-06 10:17:21.000,XF12245501,28623,1002,B430,2,VD,0000510820,XF12665501,735145,1122,B430,H050924061,VD,0000510899,XF12665501,683180,1120,B430,H050924065,VD,0000510898,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,NULL,NULL,0,NULL,NULL,"" "",NULL,195,40,1ESAB1,0,1,NULL,NULL"
